OBJECTID,COCNAME,STUSAB,COCNUM,STATE_NAME,PPRN,ES_CN_HWACW,ES_CN_HWOA_TOT,ES_CN_HWOC,ES_CN_VET,ES_VSO_HWAC_TOT,ES_VSO_HWOA_TOT,ES_VSO_HWOC_TOT,ES_VSO_VET_TOT,TH_CN_HWAC_TOT,TH_CN_HWOA,TH_CN_HWOC,TH_CN_VET,RRH_CN_HWAC_TOT,RRH_CN_HWOA,RRH_CN_HWOC,RRH_CN_VET,PSH_CN_HWAC_TOT,PSH_CN_HWOA,PSH_CN_HWOC,PSH_CN_VET,PSH_CN_CH,PSH_U_HWAC_TOT,PSH_U_HWOA,PSH_U_HWOC,PSH_U_VET,PSH_U_CH,SH_CN_HWOA,SH_CN_HWOC,SH_CN_VET,SH_PERS_HWOA,UNSH_PERS_HWOA,SH_PERS_HWOC,UNSH_PERS_HWOC,SH_PERS_HWAC,UNSH_PERS_HWAC,SH_CH,UNSH_CH,SH_UY,UNSH_UY,SH_VETS,UNSH_VETS,STATE,Contact_Type,Prefix,First_Name,Last_Name,Suffix,Title,Primary_Phone,Primary_Phone_Ext,Fax,Email_Address,YEAR,Shape__Area,Shape__Length
19,Tucson/Pima County CoC,,AZ-501,Arizona,9297135,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,1275,0,1,316,5,195,603,,,108,73,,,,,,,,,,,,,32824196964.7656,1036574.88919018
20,"Phoenix, Mesa/Maricopa County CoC",,AZ-502,Arizona,33715218,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,3837,21,17,1867,222,1478,657,,,347,93,,,,,,,,,,,,,34443798072.6406,1041299.17820947
21,San Jose/Santa Clara City & County CoC,,CA-500,California,13359120,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,7065,9,103,1142,233,1224,2913,,,99,351,,,,,,,,,,,,,5314569634.3125,473007.522806153
22,San Francisco CoC,,CA-501,California,23030878,,,,,,,,,,,,,,,,,,,,,,0,134,0,0,104,,,,,4053,6,39,841,262,1675,1314,,,119,468,,,,,,,,,,,,,196845530.402344,157066.867749772
23,"Oakland, Berkeley/Alameda County CoC",,CA-502,California,18985729,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,6226,15,11,593,106,1391,2441,,,140,384,,,,,,,,,,,,,3079066676.10156,467976.350404184
24,Sacramento City & County CoC,,CA-503,California,13775491,,,,,,,,,,,,,,,,,,,,,,18,27,0,0,0,,,,,3895,12,13,1044,36,962,612,,,217,101,,,,,,,,,,,,,4205477023.53906,406562.500101858
25,"Santa Rosa, Petaluma/Sonoma County CoC",,CA-504,California,2736525,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,1561,9,5,187,11,189,417,,,24,138,,,,,,,,,,,,,6736659698.0625,510231.288662995
26,Contra Costa County CoC,,CA-505,California,6919280,,,,,,,,,,,,,,,,,,,,,,46,0,0,0,0,,,,,1842,3,0,211,117,355,1272,,,30,116,,,,,,,,,,,,,3162673841.21875,370998.309740251
27,"Salinas/Monterey, San Benito Counties CoC",,CA-506,California,3650461,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,2239,0,3,298,137,252,847,,,66,101,,,,,,,,,,,,,18815013051.3711,751563.344929112
28,Marin County CoC,,CA-507,California,695257,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,719,0,0,135,69,111,106,,,13,31,,,,,,,,,,,,,2199856273.06641,515484.972615056
29,Watsonville/Santa Cruz City & County CoC,,CA-508,California,1250461,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,1475,0,0,161,10,148,562,,,16,56,,,,,,,,,,,,,1819820077.81641,290743.555396725
30,Mendocino County CoC,,CA-509,California,596553,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,527,0,1,68,24,93,61,,,12,7,,,,,,,,,,,,,15271936262.1406,783330.422948907
31,"Turlock, Modesto/Stanislaus County CoC",,CA-510,California,5267690,,,,,,,,,,,,,,,,,,,,,,2,86,0,0,67,,,,,973,0,0,258,7,282,272,,,39,40,,,,,,,,,,,,,6251108374.07422,478221.718022492
32,Stockton/San Joaquin County CoC,,CA-511,California,7856804,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,3438,9,17,440,14,309,778,,,52,197,,,,,,,,,,,,,5949609737.79297,418974.421524909
33,Daly City/San Mateo County CoC,,CA-512,California,4138382,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,1034,2,0,452,111,302,410,,,32,10,,,,,,,,,,,,,1878352695.66016,335490.604159464
34,"Visalia/Kings, Tulare Counties CoC",,CA-513,California,3335884,,,,,,,,,,,,,,,,,,,,,,50,57,0,0,107,,,,,1216,0,0,107,125,23,445,,,8,74,,,,,,,,,,,,,24824515553.0898,771014.762532171
35,Fresno City & County/Madera County CoC,,CA-514,California,13602107,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,2703,0,2,394,53,558,1143,,,42,170,,,,,,,,,,,,,33113548922.9844,1008988.0188214
36,"Roseville, Rocklin/Placer County CoC",,CA-515,California,915771,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,345,0,1,95,20,138,123,,,15,30,,,,,,,,,,,,,6462793322.41797,533218.114484871
37,"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",,CA-516,California,1550641,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,1407,1,1,349,26,128,618,,,46,98,,,,,,,,,,,,,108029828659.789,2163332.49434262
38,Napa City & County CoC,,CA-517,California,542267,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,197,0,0,39,6,88,123,,,8,8,,,,,,,,,,,,,3356210847.05469,367099.637851873
39,Vallejo/Solano County CoC,,CA-518,California,1430059,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,1390,1,6,32,40,42,462,,,22,64,,,,,,,,,,,,,3743986745.33594,340618.664252183
40,"Chico, Paradise/Butte County CoC",,CA-519,California,921364,,,,,,,,,,,,,,,,,,,,,,0,15,0,0,15,,,,,564,5,3,161,13,295,218,,,44,35,,,,,,,,,,,,,7340032657.02344,525974.967256863
41,Merced City & County CoC,,CA-520,California,1498957,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,425,0,0,96,3,105,183,,,6,17,,,,,,,,,,,,,8090347124.28906,433573.780157503
42,"Davis, Woodland/Yolo County CoC",,CA-521,California,952289,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,615,0,0,65,18,90,295,,,6,17,,,,,,,,,,,,,4350022781.13672,420644.01447533
43,Humboldt County CoC,,CA-522,California,1098914,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,1128,5,0,157,66,104,447,,,27,60,,,,,,,,,,,,,16162348376.3281,818109.748756751
44,"Colusa, Glenn, Trinity Counties CoC",,CA-523,California,363192,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,117,0,0,56,12,7,61,,,4,9,,,,,,,,,,,,,25235236012.3672,1378139.48305551
45,Yuba City & County/Sutter County CoC,,CA-524,California,766352,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,572,0,0,56,110,111,292,,,8,43,,,,,,,,,,,,,5402061212.37891,516190.536376076
46,El Dorado County CoC,,CA-525,California,589588,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,117,6,5,19,13,31,29,,,6,6,,,,,,,,,,,,,7624180688.93359,467800.05849306
47,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",,CA-526,California,693333,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,490,0,0,99,35,18,74,,,9,18,,,,,,,,,,,,,22471244627.3867,778671.514949708
48,Tehama County CoC,,CA-527,California,326369,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,236,0,0,40,11,0,106,,,1,21,,,,,,,,,,,,,13137374344.3516,624791.399048027
49,Lake County CoC,,CA-529,California,318698,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,371,0,1,72,63,26,143,,,6,14,,,,,,,,,,,,,5719579354.21094,468540.903802958
50,"Alpine, Inyo, Mono Counties CoC",,CA-530,California,189400,,,,,,,,,,,,,,,,,,,,,,10,8,0,0,0,,,,,69,0,0,11,0,1,15,,,0,3,,,,,,,,,,,,,57307378897.8594,1664979.75536505
51,Nevada County CoC,,CA-531,California,439648,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,227,0,1,73,30,71,110,,,5,9,,,,,,,,,,,,,4217589735.02734,433811.067413802
52,Los Angeles City & County CoC,,CA-600,California,102357817,,,,,,,,,,,,,,,,,,,,,,0,2589,0,265,0,,,,,46592,37,72,7862,2845,5349,24474,,,957,2034,,,,,,,,,,,,,15156357860.7148,1168518.23437477
53,San Diego City and County CoC,,CA-601,California,27401155,,,,,,,,,,,,,,,,,,,,,,32,141,0,30,32,,,,,5955,11,13,1421,142,1072,2688,,,321,544,,,,,,,,,,,,,15655896657.6172,773016.635186081
54,"Santa Ana, Anaheim/Orange County CoC",,CA-602,California,24155943,,,,,,,,,,,,,,,,,,,,,,0,162,0,88,0,,,,,3993,6,0,948,180,877,1600,,,80,248,,,,,,,,,,,,,2997660933.17578,295515.333231309
55,Santa Maria/Santa Barbara County CoC,,CA-603,California,2816851,,,,,,,,,,,,,,,,,,,,,,0,47,0,0,36,,,,,1236,9,0,268,96,300,388,,,29,61,,,,,,,,,,,,,10554808249.4688,862473.804200364
56,Bakersfield/Kern County CoC,,CA-604,California,10513531,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,1645,6,1,199,17,324,464,,,44,49,,,,,,,,,,,,,31854095671.9023,861842.150166333
57,Long Beach CoC,,CA-606,California,6159139,,,,,,,,,,,,,,,,,,,,,,0,150,0,8,150,,,,,2428,0,0,76,27,387,1347,,,201,181,,,,,,,,,,,,,194503411.71875,204541.468857007
58,Pasadena CoC,,CA-607,California,2597171,,,,,,,,,,,,,,,,,,,,,,0,69,0,0,69,,,,,310,0,0,90,11,70,170,,,1,32,,,,,,,,,,,,,87600821.28125,104561.946205448
59,Riverside City & County CoC,,CA-608,California,17536864,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,2418,22,3,736,20,338,659,,,68,198,,,,,,,,,,,,,27426522148.9141,911422.462029355
60,San Bernardino City & County CoC,,CA-609,California,19139290,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,2994,7,6,420,55,240,1698,,,35,211,,,,,,,,,,,,,77494108527.1094,1247144.0375987
61,"Oxnard, San Buenaventura/Ventura County CoC",,CA-611,California,5322483,,,,,,,,,,,,,,,,,,,,,,0,289,0,54,231,,,,,1392,1,0,332,39,364,678,,,38,69,,,,,,,,,,,,,7085476190.75391,481419.023415757
62,Glendale CoC,,CA-612,California,2110074,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,78,0,0,70,2,12,38,,,1,4,,,,,,,,,,,,,116119836.960938,70275.4651341247
63,Imperial County CoC,,CA-613,California,977432,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,1323,0,0,56,52,33,470,,,0,37,,,,,,,,,,,,,16558719722.2539,593101.351215236
64,San Luis Obispo County CoC,,CA-614,California,2179928,,,,,,,,,,,,,,,,,,,,,,0,30,0,0,30,,,,,778,0,0,121,22,74,281,,,3,46,,,,,,,,,,,,,12967042869.8711,782616.055869138
65,Colorado Balance of State CoC,,CO-500,Colorado,4096351,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,1214,6,1,313,127,94,673,,,57,140,,,,,,,,,,,,,388418950281.66,3687755.61455699
66,Metropolitan Denver CoC,,CO-503,Colorado,16736705,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,2816,17,22,7324,81,1695,1641,,,390,257,,,,,,,,,,,,,19892480087.5547,949090.253999235
67,Colorado Springs/El Paso County CoC,,CO-504,Colorado,4115640,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,258,3,1,451,0,127,155,,,67,22,,,,,,,,,,,,,9102348965.42578,404850.435338391
68,"Fort Collins, Greeley, Loveland/Larimer, Weld Counties CoC",,CO-505,Colorado,1802026,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,265,0,2,219,4,154,100,,,24,21,,,,,,,,,,,,,29897012825.0859,1026185.85061533
69,"Bridgeport, Stamford, Norwalk, Danbury/Fairfield County CoC",,CT-503,Connecticut,5773705,,,,,,,,,,,,,,,,,,,,,,5,43,0,0,43,,,,,99,1,0,239,10,13,9,,,47,3,,,,,,,,,,,,,3190715071.45703,669193.589355713
70,Connecticut Balance of State CoC,,CT-505,Connecticut,22495423,,,,,,,,,,,,,,,,,,,,,,245,134,0,23,0,,,,,462,0,0,856,3,47,15,,,105,19,,,,,,,,,,,,,19830913029.9492,1296325.80113772
71,District of Columbia CoC,,DC-500,District of Columbia,19032312,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,887,9,1,1644,12,922,494,,,160,53,,,,,,,,,,,,,266663827.992188,152938.855212236
72,Delaware Statewide CoC,,DE-500,Delaware,7091389,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,236,1,0,553,2,146,92,,,77,12,,,,,,,,,,,,,8485892023.83984,1178017.06971932
73,"Sarasota, Bradenton/Manatee, Sarasota Counties CoC",,FL-500,Florida,4669056,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,629,14,0,136,25,51,238,,,45,48,,,,,,,,,,,,,4388627688.82422,1099586.18281151
74,Tampa/Hillsborough County CoC,,FL-501,Florida,12665729,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,809,0,0,427,213,97,148,,,102,50,,,,,,,,,,,,,3575897760.21094,785476.840460782
75,"St. Petersburg, Clearwater, Largo/Pinellas County CoC",,FL-502,Florida,5874260,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,614,16,2,410,105,232,344,,,179,52,,,,,,,,,,,,,970411761.572266,1008762.96193628
76,Lakeland/Polk County CoC,,FL-503,Florida,5243633,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,436,19,5,240,217,53,0,,,8,37,,,,,,,,,,,,,6698023515.99023,446186.590721061
77,"Deltona, Daytona Beach/Volusia, Flagler Counties CoC",,FL-504,Florida,3033011,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,647,1,0,220,139,40,144,,,30,45,,,,,,,,,,,,,5883486238.27539,1521543.75585553
78,"Fort Walton Beach/Okaloosa, Walton Counties CoC",,FL-505,Florida,891471,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,230,1,1,51,19,34,86,,,15,14,,,,,,,,,,,,,7052539735.42383,816265.49079379
79,Tallahassee/Leon County CoC,,FL-506,Florida,3479038,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,196,10,2,200,18,153,56,,,90,22,,,,,,,,,,,,,19580917513.8574,1998113.04880345
80,"Orlando/Orange, Osceola, Seminole Counties CoC",,FL-507,Florida,17261000,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,1072,0,1,745,21,277,442,,,133,85,,,,,,,,,,,,,9573364998.10547,571374.110378859
81,"Gainesville/Alachua, Putnam Counties CoC",,FL-508,Florida,2080819,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,433,6,0,108,11,37,195,,,49,28,,,,,,,,,,,,,12321492085.2461,1566922.57519221
82,"Fort Pierce/St. Lucie, Indian River, Martin Counties CoC",,FL-509,Florida,1884233,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,405,10,0,107,149,0,113,,,8,27,,,,,,,,,,,,,5798511940.30859,879755.016145181
83,"Jacksonville-Duval, Clay Counties CoC",,FL-510,Florida,9100564,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,551,34,2,232,7,43,78,,,91,31,,,,,,,,,,,,,7530595948.96094,512563.74282646
84,"Pensacola/Escambia, Santa Rosa Counties CoC",,FL-511,Florida,2941205,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,536,3,1,91,7,81,284,,,65,58,,,,,,,,,,,,,5952598219.43359,952805.553211838
85,St. Johns County CoC,,FL-512,Florida,509946,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,253,0,0,66,14,40,93,,,3,13,,,,,,,,,,,,,2278490823.70898,569489.471016591
86,"Palm Bay, Melbourne/Brevard County CoC",,FL-513,Florida,1408751,,,,,,,,,,,,,,,,,,,,,,40,8,0,4,48,,,,,742,13,1,121,36,3,353,,,109,52,,,,,,,,,,,,,3557832325.69531,1234131.19140511
87,Ocala/Marion County CoC,,FL-514,Florida,2866148,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,199,4,0,96,0,10,62,,,3,11,,,,,,,,,,,,,5672470108.18555,405870.613637725
88,"Panama City/Bay, Jackson Counties CoC",,FL-515,Florida,1330999,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,342,5,0,35,31,2,57,,,4,47,,,,,,,,,,,,,13911814664.0313,1548649.02374964
89,"Hendry, Hardee, Highlands Counties CoC",,FL-517,Florida,1371669,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,358,0,0,0,283,0,104,,,0,30,,,,,,,,,,,,,17894078658.582,642410.283347284
90,"Columbia, Hamilton, Lafayette, Suwannee Counties CoC",,FL-518,Florida,594824,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,313,6,0,44,142,0,21,,,13,11,,,,,,,,,,,,,8911702899.32031,473254.747090788
91,Pasco County CoC,,FL-519,Florida,3772961,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,427,1,0,138,0,10,102,,,52,14,,,,,,,,,,,,,2565769146.07031,363090.726296711
92,"Citrus, Hernando, Lake, Sumter Counties CoC",,FL-520,Florida,2199962,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,415,1,1,192,29,1,98,,,17,32,,,,,,,,,,,,,9659874481.36328,1816350.36725449
93,Miami-Dade County CoC,,FL-600,Florida,26882429,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,1033,0,0,1254,0,746,364,,,101,33,,,,,,,,,,,,,6332338548.53906,1152523.59346467
94,Ft Lauderdale/Broward County CoC,,FL-601,Florida,9716100,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,1565,2,2,358,57,284,429,,,13,94,,,,,,,,,,,,,3953348107.31445,271778.674533829
95,Charlotte County CoC,,FL-602,Florida,547344,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,174,0,0,41,35,0,0,,,39,15,,,,,,,,,,,,,2327398232.1582,874767.00016413
96,"Ft Myers, Cape Coral/Lee County CoC",,FL-603,Florida,4592370,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,636,15,0,64,108,22,254,,,14,46,,,,,,,,,,,,,2662073224.08594,1647553.93632733
97,Monroe County CoC,,FL-604,Florida,773908,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,170,0,1,13,12,25,17,,,29,11,,,,,,,,,,,,,3344986379.24219,3927300.60840647
98,West Palm Beach/Palm Beach County CoC,,FL-605,Florida,9391002,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,1526,0,3,250,51,110,422,,,43,76,,,,,,,,,,,,,7213570430.60156,484094.803670712
99,Naples/Collier County CoC,,FL-606,Florida,3025863,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,245,8,45,79,116,0,5,,,33,63,,,,,,,,,,,,,6574336896.05859,1591987.05924282
100,Atlanta CoC,,GA-500,Georgia,8292249,,,,,,,,,,,,,,,,,,,,,,41,46,0,0,56,,,,,1018,0,0,318,22,321,516,,,196,91,,,,,,,,,,,,,512222332.679688,221874.740630602
101,Georgia Balance of State CoC,,GA-501,Georgia,32736099,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,3956,4,19,1385,432,91,425,,,61,145,,,,,,,,,,,,,207033772012.715,4140089.90885718
102,Fulton County CoC,,GA-502,Georgia,2162988,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,105,22,2,63,47,7,17,,,10,3,,,,,,,,,,,,,1544690786.78125,408341.948391762
103,Athens-Clarke County CoC,,GA-503,Georgia,539801,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,181,0,0,66,0,26,77,,,5,10,,,,,,,,,,,,,457147266.28125,110597.893438331
104,Augusta-Richmond County CoC,,GA-504,Georgia,2124972,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,301,0,0,39,18,6,51,,,15,13,,,,,,,,,,,,,1223167589.80859,210419.408797528
105,Columbus-Muscogee/Russell County CoC,,GA-505,Georgia,2311083,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,52,0,0,77,0,15,19,,,9,5,,,,,,,,,,,,,3159518953.44141,360689.096565119
106,Marietta/Cobb County CoC,,GA-506,Georgia,4181836,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,143,0,0,107,7,3,23,,,6,20,,,,,,,,,,,,,1299858307.17969,168083.485084196
107,Savannah/Chatham County CoC,,GA-507,Georgia,3050471,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,193,2,0,63,0,28,24,,,33,9,,,,,,,,,,,,,1732330273.14453,399525.939054342
108,DeKalb County CoC,,GA-508,Georgia,5738806,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,177,0,0,84,0,8,51,,,4,11,,,,,,,,,,,,,985387033.863281,211657.92275522
109,Guam CoC,,GU-500,Guam,2551997,,,,,,,,,,,,,,,,,,,,,,6,1,0,7,6,,,,,367,0,0,83,737,7,100,,,8,24,,,,,,,,,,,,,577783960.730469,268611.657484249
110,Hawaii Balance of State CoC,,HI-500,Hawaii,2371356,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,1116,0,2,3211,158,97,616,,,15,59,,,,,,,,,,,,,17207748246.8164,1715748.57339845
111,Honolulu City and County CoC,,HI-501,Hawaii,9654165,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,2520,10,2,879,244,313,736,,,123,86,,,,,,,,,,,,,1813625453.67969,489354.70180866
